iter	Passed	Remaining
0	138	138724
1	141	70669
2	145	48303
3	149	37125
4	151	30234
5	155	25678
6	158	22492
7	161	19998
8	164	18124
9	167	16629
10	170	15358
11	174	14334
12	177	13486
13	180	12713
14	183	12068
15	187	11501
16	189	10979
17	193	10537
18	196	10128
19	199	9751
20	202	9421
21	204	9104
22	208	8836
23	211	8587
24	213	8342
25	216	8126
26	219	7911
27	222	7725
28	225	7553
29	228	7384
30	231	7238
31	234	7085
32	237	6955
33	240	6829
34	243	6703
35	246	6590
36	248	6476
37	251	6375
38	254	6281
39	257	6183
40	260	6095
41	263	6005
42	266	5923
43	269	5849
44	271	5770
45	274	5700
46	277	5627
47	280	5565
48	283	5503
49	286	5441
50	289	5389
51	292	5329
52	295	5274
53	298	5226
54	301	5172
55	303	5124
56	306	5074
57	309	5030
58	312	4990
59	315	4944
60	318	4906
61	321	4863
62	324	4824
63	327	4787
64	330	4747
65	333	4715
66	335	4676
67	338	4642
68	341	4613
69	344	4579
70	347	4550
71	350	4517
72	353	4489
73	356	4462
74	359	4432
75	362	4405
76	365	4375
77	368	4354
78	371	4333
79	374	4307
80	378	4290
81	381	4269
82	384	4245
83	387	4224
84	390	4200
85	394	4189
86	398	4185
87	403	4177
88	406	4164
89	410	4151
90	414	4137
91	418	4128
92	422	4121
93	425	4105
94	429	4091
95	433	4078
96	437	4071
97	441	4060
98	444	4046
99	448	4035
100	452	4026
101	456	4018
102	459	4003
103	462	3986
104	469	4001
105	474	4002
106	477	3986
107	480	3971
108	483	3955
109	486	3939
110	490	3925
111	492	3908
112	496	3895
113	499	3882
114	502	3867
115	505	3856
116	509	3842
117	511	3826
118	515	3816
119	519	3806
120	522	3792
121	531	3826
122	535	3814
123	538	3802
124	541	3787
125	544	3776
126	547	3765
127	550	3752
128	554	3742
129	557	3731
130	560	3717
131	563	3707
132	566	3695
133	570	3683
134	573	3672
135	576	3660
136	579	3649
137	582	3638
138	585	3625
139	588	3615
140	591	3606
141	594	3593
142	598	3584
143	600	3571
144	603	3560
145	606	3549
146	609	3537
147	612	3528
148	615	3515
149	618	3506
150	621	3495
151	624	3485
152	627	3476
153	631	3466
154	633	3455
155	636	3445
156	639	3433
157	642	3422
158	644	3411
159	648	3402
160	650	3391
161	653	3380
162	656	3370
163	659	3359
164	661	3350
165	664	3339
166	667	3329
167	670	3320
168	673	3309
169	676	3300
170	678	3290
171	681	3281
172	684	3272
173	687	3262
174	690	3254
175	693	3245
176	696	3236
177	698	3226
178	701	3217
179	704	3208
180	707	3199
181	709	3190
182	712	3181
183	715	3172
184	717	3163
185	720	3154
186	723	3146
187	726	3138
188	729	3131
189	732	3123
190	735	3115
191	738	3106
192	741	3098
193	744	3091
194	746	3083
195	749	3075
196	752	3066
197	755	3059
198	758	3053
199	761	3045
200	764	3038
201	767	3030
202	770	3023
203	773	3016
204	775	3008
205	778	3001
206	781	2993
207	784	2985
208	786	2977
209	789	2971
210	793	2965
211	795	2958
212	798	2951
213	801	2943
214	804	2937
215	807	2930
216	810	2923
217	813	2917
218	815	2909
219	818	2903
220	821	2896
221	824	2888
222	827	2882
223	830	2875
224	833	2869
225	835	2862
226	838	2855
227	841	2847
228	843	2841
229	846	2835
230	849	2828
231	852	2822
232	855	2816
233	858	2809
234	861	2803
235	864	2797
236	867	2791
237	869	2784
238	872	2779
239	875	2772
240	878	2766
241	881	2760
242	883	2753
243	886	2747
244	889	2741
245	892	2737
246	895	2731
247	898	2725
248	901	2719
249	904	2713
250	907	2707
251	910	2701
252	912	2694
253	915	2689
254	918	2682
